HTR	start	end	gene	Identifying_annotation	SRG_type
IBT15449:HTR22	371782	374107	g35061.t1	IPR022198	DUF3723
IBT15449:HTR22	500093	502449	g35114.t1	IPR022198	DUF3723
IBT15449:HTR23	18121	20457	g19230.t1	IPR022198	DUF3723
IBT15449:HTR23	156593	158522	g19287.t1	IPR001005,IPR009057	MYB/SANT
IBT15449:HTR23	377417	378405	g19379.t1	IPR022198	DUF3723
IBT15449:HTR23	546888	548117	g19449.t1	IPR001005,IPR009057	MYB/SANT
IBT15449:HTR23	707394	710128	g19518.t1	IPR013087,IPR021842	DUF3435
IBT15449:HTR23	736309	739050	g19528.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15449:HTR23	1197523	1199879	g19703.t1	IPR022198	DUF3723
IBT15449:HTR28	464325	465282	g940.t1	IPR022198	DUF3723
IBT15449:HTR28	775779	779636	g1033.t1	IPR022198	DUF3723
IBT15449:HTR3	245116	247460	g50944.t1	IPR022198	DUF3723
IBT15449:HTR4	106810	110048	g44162.t1	IPR022198	DUF3723
IBT15449:HTR4	859026	861763	g44464.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15449:HTR44	6609	8964	g57116.t1	IPR022198	DUF3723
IBT15449:HTR44	54666	57403	g57138.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15449:HTR5	363608	367144	g38375.t1	IPR022198	DUF3723
IBT15449:HTR5	378443	381390	g38382.t1	IPR021842	DUF3435
IBT15449:HTR5	705212	711817	g38495.t1	IPR022198	DUF3723
IBT15449:HTR53	215485	217318	g26377.t1	IPR022198	DUF3723
IBT15449:HTR58	150606	152944	g40032.t1	IPR022198	DUF3723
IBT15449:HTR67	14046	15275	g36781.t1	IPR001005,IPR009057	MYB/SANT
IBT15449:HTR67	271203	273558	g36889.t1	IPR022198	DUF3723
IBT15449:HTR68	124559	126514	g7809.t1	IPR001005,IPR009057	MYB/SANT
IBT15449:HTR68	428090	429319	g7929.t1	IPR001005,IPR009057	MYB/SANT
IBT15449:HTR69	16392	17025	g37045.t1	IPR021842	DUF3435
IBT15449:HTR71	29743	32480	g31380.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15449:HTR71	191426	193781	g31438.t1	IPR022198	DUF3723
IBT15449:HTR71	426723	430182	g31526.t1	IPR011010,IPR013762,IPR021842	DUF3435
IBT15449:HTR71	737521	739852	g31638.t1	IPR022198	DUF3723
IBT15449:HTR71	898528	901198	g31699.t1	IPR021842	DUF3435
IBT15449:HTR71	903684	906922	g31700.t1	IPR022198	DUF3723
IBT15449:HTR82	1079	4584	g47729.t1	IPR011010,IPR013762,IPR021842	DUF3435
IBT15449:HTR82	223197	225379	g47797.t1	IPR022198	DUF3723
IBT15449:HTR89	149581	151936	g13076.t1	IPR022198	DUF3723
IBT15449:HTR89	288464	291201	g13131.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15449:HTR9	95061	97520	g10321.t1	IPR022198	DUF3723
IBT15449:HTR93	3018	5966	g46100.t1	IPR021842	DUF3435
IBT15449:HTR93	23402	26926	g46106.t1	IPR022198	DUF3723
IBT15449:HTR97	18544	20900	g9704.t1	IPR022198	DUF3723
IBT15450:HTR103	1091	4596	g18193.t1	IPR011010,IPR013762,IPR021842	DUF3435
IBT15450:HTR103	223206	225388	g18263.t1	IPR022198	DUF3723
IBT15450:HTR123	255124	257468	g20273.t1	IPR022198	DUF3723
IBT15450:HTR123	345993	346951	g20317.t1	IPR021842	DUF3435
IBT15450:HTR123	374015	376646	g20326.t1	IPR021842	DUF3435
IBT15450:HTR14	242563	244396	g48292.t1	IPR022198	DUF3723
IBT15450:HTR19	94236	96695	g8139.t1	IPR022198	DUF3723
IBT15450:HTR31	106585	109322	g8768.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15450:HTR31	155024	157378	g8788.t1	IPR022198	DUF3723
IBT15450:HTR5	95779	98211	g38956.t1	IPR022198	DUF3723
IBT15450:HTR5	383034	385475	g39062.t1	IPR021842	DUF3435
IBT15450:HTR56	98422	100034	g55417.t1	IPR021842	DUF3435
IBT15450:HTR56	549491	555561	g55576.t1	IPR022198	DUF3723
IBT15450:HTR56	1323388	1329992	g55808.t1	IPR022198	DUF3723
IBT15450:HTR56	1653830	1656777	g55920.t1	IPR021842	DUF3435
IBT15450:HTR56	1668076	1671612	g55927.t1	IPR022198	DUF3723
IBT15450:HTR57	28132	30457	g48804.t1	IPR022198	DUF3723
IBT15450:HTR57	77847	79076	g48826.t1	IPR001005,IPR009057	MYB/SANT
IBT15450:HTR57	436376	442417	g48954.t1	IPR022198	DUF3723
IBT15450:HTR57	752529	753486	g49047.t1	IPR022198	DUF3723
IBT15450:HTR57	1221890	1223845	g49244.t1	IPR001005,IPR009057	MYB/SANT
IBT15450:HTR57	1386759	1389496	g49311.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15450:HTR57	1450332	1451561	g49331.t1	IPR001005,IPR009057	MYB/SANT
IBT15450:HTR57	1623597	1625961	g49401.t1	IPR022198	DUF3723
IBT15450:HTR57	1777417	1778374	g49475.t1	IPR022198	DUF3723
IBT15450:HTR57	1934439	1936802	g49539.t1	IPR022198	DUF3723
IBT15450:HTR57	2005556	2006513	g49570.t1	IPR022198	DUF3723
IBT15450:HTR58	38140	40478	g39583.t1	IPR022198	DUF3723
IBT15450:HTR58	204917	207273	g39653.t1	IPR022198	DUF3723
IBT15450:HTR59	84706	87440	g26625.t1	IPR013087,IPR021842	DUF3435
IBT15450:HTR59	113621	116362	g26635.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15450:HTR59	574850	577206	g26810.t1	IPR022198	DUF3723
IBT15450:HTR59	811877	812865	g26909.t1	IPR022198	DUF3723
IBT15450:HTR59	981363	982592	g26978.t1	IPR001005,IPR009057	MYB/SANT
IBT15450:HTR59	1485394	1487031	g27155.t1	IPR013087,IPR021842	DUF3435
IBT15450:HTR59	1906040	1908979	g27306.t1	IPR021842	DUF3435
IBT15450:HTR59	1922796	1926236	g27312.t1	IPR022198	DUF3723
IBT15450:HTR59	2294172	2297410	g27449.t1	IPR022198	DUF3723
IBT15450:HTR59	2429937	2432268	g27491.t1	IPR022198	DUF3723
IBT15450:HTR59	2467066	2469803	g27506.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15450:HTR59	2501317	2503651	g27522.t1	IPR022198	DUF3723
IBT15450:HTR59	2847979	2850310	g27662.t1	IPR022198	DUF3723
IBT15450:HTR60	244816	247553	g13301.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15450:HTR60	594558	597243	g13415.t1	IPR021842	DUF3435
IBT15450:HTR60	682196	684540	g13445.t1	IPR022198	DUF3723
IBT15450:HTR60	716935	720263	g13455.t1	IPR022198	DUF3723
IBT15450:HTR60	767974	769203	g13474.t1	IPR001005,IPR009057	MYB/SANT
IBT15450:HTR60	1417555	1419899	g13724.t1	IPR022198	DUF3723
IBT15450:HTR60	1591758	1594264	g13789.t1	IPR013087,IPR021842	DUF3435
IBT15450:HTR60	1846711	1847273	g13871.t1	IPR022198	DUF3723
IBT15450:HTR60	1847406	1849067	g13872.t1	IPR022198	DUF3723
IBT15450:HTR60	1900271	1902406	g13893.t1	IPR011010,IPR013762,IPR021842	DUF3435
IBT15450:HTR60	2070573	2072528	g13959.t1	IPR001005,IPR009057	MYB/SANT
IBT15450:HTR60	2112434	2113454	g13973.t1	IPR022198	DUF3723
IBT15450:HTR60	2113612	2115084	g13974.t1	IPR022198	DUF3723
IBT15450:HTR60	2115393	2117942	g13975.t1	IPR022198	DUF3723
IBT15450:HTR60	2376231	2378569	g14064.t1	IPR022198	DUF3723
IBT15450:HTR60	2514715	2516646	g14122.t1	IPR001005,IPR009057	MYB/SANT
IBT15450:HTR60	2626882	2629212	g14168.t1	IPR022198	DUF3723
IBT15450:HTR60	2874617	2878076	g14259.t1	IPR011010,IPR013762,IPR021842	DUF3435
IBT15450:HTR60	3111028	3113383	g14352.t1	IPR022198	DUF3723
IBT15450:HTR60	3272332	3275069	g14412.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15450:HTR61	54510	58161	g11305.t1	IPR021842	DUF3435
IBT15450:HTR61	160725	163069	g11348.t1	IPR022198	DUF3723
IBT15450:HTR61	245339	246297	g11385.t1	IPR021842	DUF3435
IBT15450:HTR62	85219	85852	g17259.t1	IPR021842	DUF3435
IBT15450:HTR71	13971	15200	g22583.t1	IPR001005,IPR009057	MYB/SANT
IBT15450:HTR71	271134	273489	g22691.t1	IPR022198	DUF3723
IBT15450:HTR71	437823	440178	g22761.t1	IPR022198	DUF3723
IBT15450:HTR71	576711	579448	g22815.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15450:HTR75	3291	6239	g38180.t1	IPR021842	DUF3435
IBT15450:HTR75	29450	32974	g38188.t1	IPR022198	DUF3723
IBT15450:HTR80	201644	204381	g20656.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15450:HTR80	963368	966606	g20955.t1	IPR022198	DUF3723
IBT15450:HTR82	39269	41114	g7957.t1	IPR021842	DUF3435
IBT15450:HTR92	7017	9347	g8576.t1	IPR022198	DUF3723
IBT15450:HTR92	233704	236374	g8659.t1	IPR021842	DUF3435
IBT15450:HTR92	238859	242097	g8660.t1	IPR022198	DUF3723
IBT15451:HTR10	337667	339512	g9591.t1	IPR021842	DUF3435
IBT15451:HTR102	83611	84568	g23629.t1	IPR022198	DUF3723
IBT15451:HTR102	153322	155684	g23660.t1	IPR022198	DUF3723
IBT15451:HTR102	311711	312668	g23722.t1	IPR022198	DUF3723
IBT15451:HTR102	464120	466484	g23796.t1	IPR022198	DUF3723
IBT15451:HTR102	638535	639764	g23863.t1	IPR001005,IPR009057	MYB/SANT
IBT15451:HTR102	700603	703340	g23883.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15451:HTR102	866241	868197	g23952.t1	IPR001005,IPR009057	MYB/SANT
IBT15451:HTR102	1362271	1363228	g24153.t1	IPR022198	DUF3723
IBT15451:HTR102	1673741	1679782	g24244.t1	IPR022198	DUF3723
IBT15451:HTR102	2037073	2038302	g24372.t1	IPR001005,IPR009057	MYB/SANT
IBT15451:HTR102	2085695	2088020	g24394.t1	IPR022198	DUF3723
IBT15451:HTR102	2217728	2220082	g24449.t1	IPR022198	DUF3723
IBT15451:HTR102	2682275	2685015	g24620.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15451:HTR102	2711196	2713930	g24630.t1	IPR013087,IPR021842	DUF3435
IBT15451:HTR103	220741	223478	g57467.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15451:HTR103	570490	573175	g57581.t1	IPR021842	DUF3435
IBT15451:HTR103	658129	660473	g57611.t1	IPR022198	DUF3723
IBT15451:HTR103	692867	696194	g57621.t1	IPR022198	DUF3723
IBT15451:HTR103	743904	745133	g57640.t1	IPR001005,IPR009057	MYB/SANT
IBT15451:HTR103	1393413	1395757	g57889.t1	IPR022198	DUF3723
IBT15451:HTR103	1567608	1570114	g57955.t1	IPR013087,IPR021842	DUF3435
IBT15451:HTR103	1822842	1823404	g58036.t1	IPR022198	DUF3723
IBT15451:HTR103	1823750	1824409	g58037.t1	IPR022198	DUF3723
IBT15451:HTR103	1876399	1878534	g58057.t1	IPR011010,IPR013762,IPR021842	DUF3435
IBT15451:HTR103	2046696	2048651	g58121.t1	IPR001005,IPR009057	MYB/SANT
IBT15451:HTR103	2088558	2089578	g58135.t1	IPR022198	DUF3723
IBT15451:HTR103	2089736	2091208	g58136.t1	IPR022198	DUF3723
IBT15451:HTR103	2091517	2094066	g58137.t1	IPR022198	DUF3723
IBT15451:HTR103	2352341	2354679	g58226.t1	IPR022198	DUF3723
IBT15451:HTR103	2490818	2492748	g58284.t1	IPR001005,IPR009057	MYB/SANT
IBT15451:HTR103	2711660	2712648	g58375.t1	IPR022198	DUF3723
IBT15451:HTR103	2881137	2882366	g58445.t1	IPR001005,IPR009057	MYB/SANT
IBT15451:HTR103	3385251	3386889	g58626.t1	IPR013087,IPR021842	DUF3435
IBT15451:HTR103	3805893	3808831	g58776.t1	IPR021842	DUF3435
IBT15451:HTR103	3822645	3826085	g58783.t1	IPR022198	DUF3723
IBT15451:HTR103	4199785	4203023	g58923.t1	IPR022198	DUF3723
IBT15451:HTR103	4335549	4337878	g58965.t1	IPR022198	DUF3723
IBT15451:HTR103	4372674	4375411	g58980.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15451:HTR103	4406923	4409257	g58995.t1	IPR022198	DUF3723
IBT15451:HTR103	4753545	4755875	g59139.t1	IPR022198	DUF3723
IBT15451:HTR118	667388	670125	g11900.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15451:HTR119	246173	248517	g57330.t1	IPR022198	DUF3723
IBT15451:HTR119	337047	338005	g57374.t1	IPR021842	DUF3435
IBT15451:HTR121	122796	126034	g38653.t1	IPR022198	DUF3723
IBT15451:HTR31	148578	150760	g1227.t1	IPR022198	DUF3723
IBT15451:HTR31	369375	372880	g1297.t1	IPR011010,IPR013762,IPR021842	DUF3435
IBT15451:HTR42	30791	34029	g10562.t1	IPR022198	DUF3723
IBT15451:HTR42	36514	39182	g10563.t1	IPR021842	DUF3435
IBT15451:HTR42	259817	262147	g10641.t1	IPR022198	DUF3723
IBT15451:HTR42	509185	511003	g10734.t1	IPR011010,IPR013762,IPR021842	DUF3435
IBT15451:HTR42	743948	746303	g10823.t1	IPR022198	DUF3723
IBT15451:HTR42	874814	877551	g10873.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15451:HTR43	60253	63904	g33127.t1	IPR021842	DUF3435
IBT15451:HTR43	166461	168805	g33170.t1	IPR022198	DUF3723
IBT15451:HTR43	251071	252029	g33206.t1	IPR021842	DUF3435
IBT15451:HTR44	82062	82695	g32871.t1	IPR021842	DUF3435
IBT15451:HTR47	242410	244243	g8887.t1	IPR022198	DUF3723
IBT15451:HTR52	95025	97484	g1171.t1	IPR022198	DUF3723
IBT15451:HTR65	106233	108970	g22160.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15451:HTR65	154672	157028	g22181.t1	IPR022198	DUF3723
IBT15451:HTR65	321470	323808	g22250.t1	IPR022198	DUF3723
IBT15451:HTR65	771706	772935	g22430.t1	IPR001005,IPR009057	MYB/SANT
IBT15451:HTR70	95841	98273	g43562.t1	IPR022198	DUF3723
IBT15451:HTR70	383095	384492	g43668.t1	IPR021842	DUF3435
IBT15451:HTR70	384543	385535	g43669.t1	IPR021842	DUF3435
IBT15451:HTR85	13998	15227	g23166.t1	IPR001005,IPR009057	MYB/SANT
IBT15451:HTR85	271116	273471	g23275.t1	IPR022198	DUF3723
IBT15451:HTR85	437806	440161	g23347.t1	IPR022198	DUF3723
IBT15451:HTR85	576698	579435	g23399.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15451:HTR89	3231	6179	g43916.t1	IPR021842	DUF3435
IBT15451:HTR89	29389	32913	g43924.t1	IPR022198	DUF3723
IBT15451:HTR93	363339	366875	g54585.t1	IPR022198	DUF3723
IBT15451:HTR93	378174	381121	g54592.t1	IPR021842	DUF3435
IBT15451:HTR93	704958	711561	g54704.t1	IPR022198	DUF3723
IBT15451:HTR93	1479362	1485432	g54928.t1	IPR022198	DUF3723
IBT15451:HTR93	1934901	1936513	g55082.t1	IPR021842	DUF3435
IBT15452:HTR1	162078	164815	g2311.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15452:HTR1	529122	531807	g2427.t1	IPR021842	DUF3435
IBT15452:HTR1	616762	619106	g2456.t1	IPR022198	DUF3723
IBT15452:HTR1	651500	654828	g2466.t1	IPR022198	DUF3723
IBT15452:HTR1	702538	703767	g2485.t1	IPR001005,IPR009057	MYB/SANT
IBT15452:HTR1	1346746	1349090	g2737.t1	IPR022198	DUF3723
IBT15452:HTR1	1520984	1523490	g2802.t1	IPR013087,IPR021842	DUF3435
IBT15452:HTR1	1781999	1782561	g2884.t1	IPR022198	DUF3723
IBT15452:HTR1	1782694	1784355	g2885.t1	IPR022198	DUF3723
IBT15452:HTR1	1835538	1837673	g2904.t1	IPR011010,IPR013762,IPR021842	DUF3435
IBT15452:HTR1	2000019	2001974	g2968.t1	IPR001005,IPR009057	MYB/SANT
IBT15452:HTR1	2041883	2042957	g2982.t1	IPR022198	DUF3723
IBT15452:HTR1	2043062	2044534	g2983.t1	IPR022198	DUF3723
IBT15452:HTR1	2044843	2045934	g2984.t1	IPR022198	DUF3723
IBT15452:HTR1	2278192	2280530	g3067.t1	IPR022198	DUF3723
IBT15452:HTR1	2416721	2418652	g3125.t1	IPR001005,IPR009057	MYB/SANT
IBT15452:HTR1	2637345	2638333	g3212.t1	IPR022198	DUF3723
IBT15452:HTR1	2817207	2818436	g3284.t1	IPR001005,IPR009057	MYB/SANT
IBT15452:HTR1	3316004	3317641	g3461.t1	IPR013087,IPR021842	DUF3435
IBT15452:HTR105	17112	19467	g54088.t1	IPR022198	DUF3723
IBT15452:HTR105	79089	81444	g54121.t1	IPR022198	DUF3723
IBT15452:HTR105	273420	276157	g54206.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15452:HTR11	5186	8652	g47849.t1	IPR011010,IPR013762,IPR021842	DUF3435
IBT15452:HTR11	321348	323911	g47945.t1	IPR022198	DUF3723
IBT15452:HTR11	645247	647807	g48046.t1	IPR022198	DUF3723
IBT15452:HTR111	28442	30798	g56875.t1	IPR022198	DUF3723
IBT15452:HTR111	192387	193176	g56938.t1	IPR022198	DUF3723
IBT15452:HTR112	13826	16189	g43962.t1	IPR022198	DUF3723
IBT15452:HTR112	86922	87879	g43995.t1	IPR022198	DUF3723
IBT15452:HTR113	232764	235119	g275.t1	IPR022198	DUF3723
IBT15452:HTR114	19488	21843	g12554.t1	IPR022198	DUF3723
IBT15452:HTR114	69439	72176	g12576.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15452:HTR118	31205	33530	g55128.t1	IPR022198	DUF3723
IBT15452:HTR118	81082	82311	g55149.t1	IPR001005,IPR009057	MYB/SANT
IBT15452:HTR12	2824	4053	g6877.t1	IPR001005,IPR009057	MYB/SANT
IBT15452:HTR12	300327	302652	g6995.t1	IPR022198	DUF3723
IBT15452:HTR13	242434	245373	g4506.t1	IPR021842	DUF3435
IBT15452:HTR13	259189	262629	g4513.t1	IPR022198	DUF3723
IBT15452:HTR13	456051	458385	g4594.t1	IPR022198	DUF3723
IBT15452:HTR13	489899	492636	g4609.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15452:HTR13	527434	529764	g4624.t1	IPR022198	DUF3723
IBT15452:HTR13	662312	665550	g4666.t1	IPR022198	DUF3723
IBT15452:HTR13	1100756	1103087	g4837.t1	IPR022198	DUF3723
IBT15452:HTR13	1342047	1344784	g4923.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15452:HTR13	1556546	1560073	g4999.t1	IPR022198	DUF3723
IBT15452:HTR13	1567866	1570813	g5004.t1	IPR021842	DUF3435
IBT15452:HTR13	2203022	2206260	g5259.t1	IPR022198	DUF3723
IBT15452:HTR17	89103	91840	g46694.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15452:HTR17	408872	411236	g46808.t1	IPR022198	DUF3723
IBT15452:HTR17	651608	652837	g46901.t1	IPR001005,IPR009057	MYB/SANT
IBT15452:HTR18	7113	9856	g52012.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15452:HTR18	415014	417378	g52148.t1	IPR022198	DUF3723
IBT15452:HTR18	806665	807894	g52285.t1	IPR001005,IPR009057	MYB/SANT
IBT15452:HTR2	86446	89180	g27964.t1	IPR013087,IPR021842	DUF3435
IBT15452:HTR2	404584	411159	g28076.t1	IPR022198	DUF3723
IBT15452:HTR2	727210	728167	g28167.t1	IPR022198	DUF3723
IBT15452:HTR2	1150949	1152905	g28335.t1	IPR001005,IPR009057	MYB/SANT
IBT15452:HTR2	1253121	1255858	g28373.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15452:HTR2	1316694	1317923	g28394.t1	IPR001005,IPR009057	MYB/SANT
IBT15452:HTR2	1553485	1554442	g28494.t1	IPR022198	DUF3723
IBT15452:HTR2	1707608	1709971	g28557.t1	IPR022198	DUF3723
IBT15452:HTR28	1387	5019	g7438.t1	IPR021842	DUF3435
IBT15452:HTR28	48195	52388	g7453.t1	IPR022198	DUF3723
IBT15452:HTR28	148304	150137	g7487.t1	IPR022198	DUF3723
IBT15452:HTR38	124899	126850	g39195.t1	IPR001005,IPR009057	MYB/SANT
IBT15452:HTR39	49295	51247	g26467.t1	IPR001005,IPR009057	MYB/SANT
IBT15452:HTR46	25882	28392	g17720.t1	IPR013087,IPR021842	DUF3435
IBT15452:HTR47	271666	278189	g24798.t1	IPR022198	DUF3723
IBT15452:HTR47	960324	965733	g25004.t1	IPR022198	DUF3723
IBT15452:HTR47	1094465	1097202	g25049.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15452:HTR47	1344872	1346705	g25155.t1	IPR022198	DUF3723
IBT15452:HTR55	141897	144405	g46450.t1	IPR013087,IPR021842	DUF3435
IBT15452:HTR55	161919	163514	g46458.t1	IPR022198	DUF3723
IBT15452:HTR59	33778	35007	g25573.t1	IPR001005,IPR009057	MYB/SANT
IBT15452:HTR59	179260	181216	g25630.t1	IPR001005,IPR009057	MYB/SANT
IBT15452:HTR59	472322	474660	g25747.t1	IPR022198	DUF3723
IBT15452:HTR73	12170	14629	g38817.t1	IPR022198	DUF3723
IBT15452:HTR74	60617	63287	g19165.t1	IPR021842	DUF3435
IBT15452:HTR74	65772	69010	g19166.t1	IPR022198	DUF3723
IBT15452:HTR8	38347	41294	g68.t1	IPR021842	DUF3435
IBT15452:HTR8	58765	62288	g77.t1	IPR022198	DUF3723
IBT15452:HTR81	94252	96711	g12072.t1	IPR022198	DUF3723
IBT15452:HTR91	111041	113782	g47070.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15452:HTR91	572650	575005	g47243.t1	IPR022198	DUF3723
IBT15452:HTR91	701057	703382	g47298.t1	IPR022198	DUF3723
IBT15452:HTR92	200449	201678	g25307.t1	IPR001005,IPR009057	MYB/SANT
IBT15452:HTR92	352763	355118	g25362.t1	IPR022198	DUF3723
IBT18980:HTR102	37990	38850	g45690.t1	IPR022198	DUF3723
IBT18980:HTR110	119027	120256	g1841.t1	IPR001005,IPR009057	MYB/SANT
IBT18980:HTR28	281214	283545	g43822.t1	IPR022198	DUF3723
IBT18980:HTR29	20631	24280	g21958.t1	IPR021842	DUF3435
IBT18980:HTR29	50588	51546	g21967.t1	IPR021842	DUF3435
IBT18980:HTR29	140078	142422	g22008.t1	IPR022198	DUF3723
IBT18980:HTR30	196949	199685	g50123.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT18980:HTR30	260518	261747	g50143.t1	IPR001005,IPR009057	MYB/SANT
IBT18980:HTR30	441929	443885	g50218.t1	IPR001005,IPR009057	MYB/SANT
IBT18980:HTR30	910366	911323	g50410.t1	IPR022198	DUF3723
IBT18980:HTR30	1232351	1238392	g50504.t1	IPR022198	DUF3723
IBT18980:HTR30	1554165	1556899	g50614.t1	IPR013087,IPR021842	DUF3435
IBT18980:HTR31	378487	381724	g17408.t1	IPR022198	DUF3723
IBT18980:HTR32	34537	35766	g40512.t1	IPR001005,IPR009057	MYB/SANT
IBT18980:HTR32	683652	685996	g40759.t1	IPR022198	DUF3723
IBT18980:HTR32	857848	860354	g40828.t1	IPR013087,IPR021842	DUF3435
IBT18980:HTR32	1119322	1119884	g40909.t1	IPR022198	DUF3723
IBT18980:HTR32	1120017	1121678	g40910.t1	IPR022198	DUF3723
IBT18980:HTR32	1172867	1175002	g40929.t1	IPR011010,IPR013762,IPR021842	DUF3435
IBT18980:HTR32	1340831	1342786	g40992.t1	IPR001005,IPR009057	MYB/SANT
IBT18980:HTR32	1382708	1383728	g41006.t1	IPR022198	DUF3723
IBT18980:HTR32	1383886	1385358	g41007.t1	IPR022198	DUF3723
IBT18980:HTR32	1385667	1388216	g41008.t1	IPR022198	DUF3723
IBT18980:HTR32	1618936	1621274	g41091.t1	IPR022198	DUF3723
IBT18980:HTR32	1757466	1759396	g41149.t1	IPR001005,IPR009057	MYB/SANT
IBT18980:HTR32	1906105	1907093	g41205.t1	IPR022198	DUF3723
IBT18980:HTR32	2081334	2082563	g41276.t1	IPR001005,IPR009057	MYB/SANT
IBT18980:HTR32	2505466	2507103	g41425.t1	IPR013087,IPR021842	DUF3435
IBT18980:HTR32	2912949	2915888	g41569.t1	IPR021842	DUF3435
IBT18980:HTR32	2929703	2933143	g41576.t1	IPR022198	DUF3723
IBT18980:HTR32	3196585	3198918	g41679.t1	IPR022198	DUF3723
IBT18980:HTR32	3230367	3233104	g41695.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT18980:HTR32	3267908	3270239	g41710.t1	IPR022198	DUF3723
IBT18980:HTR32	3402783	3406021	g41752.t1	IPR022198	DUF3723
IBT18980:HTR32	3612777	3615514	g41834.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT18980:HTR33	64551	66913	g43117.t1	IPR022198	DUF3723
IBT18980:HTR33	221490	222447	g43179.t1	IPR022198	DUF3723
IBT18980:HTR34	10676	13001	g15566.t1	IPR022198	DUF3723
IBT18980:HTR34	138997	141353	g15620.t1	IPR022198	DUF3723
IBT18980:HTR34	449720	452461	g15734.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT18980:HTR37	128956	130185	g16013.t1	IPR001005,IPR009057	MYB/SANT
IBT18980:HTR37	180041	182416	g16035.t1	IPR022198	DUF3723
IBT18980:HTR38	23178	26505	g40216.t1	IPR022198	DUF3723
IBT18980:HTR38	58899	61243	g40226.t1	IPR022198	DUF3723
IBT18980:HTR38	146188	148873	g40256.t1	IPR021842	DUF3435
IBT18980:HTR38	501853	504590	g40376.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT18980:HTR39	241169	243530	g1616.t1	IPR022198	DUF3723
IBT18980:HTR39	512575	514799	g1728.t1	IPR022198	DUF3723
IBT18980:HTR39	610393	613129	g1766.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT18980:HTR40	39999	46450	g36731.t1	IPR022198	DUF3723
IBT18980:HTR40	72375	73604	g36738.t1	IPR001005,IPR009057	MYB/SANT
IBT18980:HTR41	51176	51809	g45883.t1	IPR021842	DUF3435
IBT18980:HTR58	1218	4850	g35314.t1	IPR021842	DUF3435
IBT18980:HTR58	43220	47413	g35325.t1	IPR022198	DUF3723
IBT18980:HTR58	188452	190287	g35377.t1	IPR022198	DUF3723
IBT18980:HTR78	42018	44477	g18507.t1	IPR022198	DUF3723
IBT18980:HTR78	90502	92714	g18528.t1	IPR021842	DUF3435
IBT18980:HTR80	2940	5450	g1928.t1	IPR013087,IPR021842	DUF3435
IBT18980:HTR80	29729	31324	g1938.t1	IPR022198	DUF3723
IBT19259:HTR101	29834	31154	g37223.t1	IPR001005,IPR009057	MYB/SANT
IBT19259:HTR107	157031	158838	g2043.t1	IPR001005	MYB/SANT
IBT19259:HTR107	217579	220228	g2067.t1	IPR022198	DUF3723
IBT19259:HTR107	221022	223535	g2068.t1	IPR022198	DUF3723
IBT19259:HTR107	369148	371807	g2108.t1	IPR021842	DUF3435
IBT19259:HTR109	85776	88425	g40089.t1	IPR022198	DUF3723
IBT19259:HTR109	89219	91732	g40090.t1	IPR022198	DUF3723
IBT19259:HTR109	123506	126165	g40100.t1	IPR021842	DUF3435
IBT19259:HTR18	116553	118221	g21244.t1	IPR011010,IPR021842	DUF3435
IBT19259:HTR18	118237	119289	g21245.t1	IPR021842	DUF3435
IBT19259:HTR4	3045	3387	g36511.t1	IPR011010,IPR021842	DUF3435
